set_id,status,video_path,meta_path
set_bk6Xst6euQk,downloaded,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_bk6Xst6euQk.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/meta/set_bk6Xst6euQk.info.json
set_1_unknown_dj,skipped_existing,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_1_unknown_dj.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/meta/set_1_unknown_dj.info.json
set_T3gcbYL2VMg,downloaded,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_T3gcbYL2VMg.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/meta/set_T3gcbYL2VMg.info.json
set_2_unknown_dj,skipped_existing,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_2_unknown_dj.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/meta/set_2_unknown_dj.info.json
set_3_unknown_dj,skipped_existing,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_3_unknown_dj.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/meta/set_3_unknown_dj.info.json
set_x9VYKrtziSg,downloaded,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_x9VYKrtziSg.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/meta/set_x9VYKrtziSg.info.json
set_Zy_JR9_Y8dE,downloaded,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_Zy_JR9_Y8dE.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/meta/set_Zy_JR9_Y8dE.info.json
set_EIQlDpgAY5Y,downloaded,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_EIQlDpgAY5Y.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/meta/set_EIQlDpgAY5Y.info.json
set_Fa8LQLy4C5A,downloaded,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_Fa8LQLy4C5A.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/meta/set_Fa8LQLy4C5A.info.json
set_EfZu4BCi644,downloaded,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_EfZu4BCi644.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/meta/set_EfZu4BCi644.info.json
